Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,ladderRatio,elevator,subway,floor_new,constructionTime_new,buildingType_1.0,buildingType_2.0,buildingType_3.0,buildingType_4.0,buildingStructure_1,buildingStructure_2,buildingStructure_3,buildingStructure_4,buildingStructure_5,buildingStructure_6,totalPrice,predict_price,error
116.324073,40.082161,99.54,2,2,1,1,0.5,0,1,6,2006,0,0,0,1,0,0,0,0,0,1,375.0,379,-1
116.332045,40.08133400000001,80.67,2,1,1,1,0.5,0,1,6,1994,0,0,0,1,0,1,0,0,0,0,392.6,362,7
116.247008,39.906426,95.25,2,1,1,1,0.4,1,1,26,2005,0,0,1,0,0,0,0,0,0,1,595.0,562,5
116.430477,40.00105300000001,149.63,3,1,1,2,0.3,1,0,24,2000,1,0,0,0,0,0,0,0,0,1,619.0,712,-15
116.432388,39.95399000000001,82.63,2,1,1,1,0.667,1,0,13,2003,0,0,1,0,0,0,0,0,0,1,774.0,731,5
116.40008799999998,40.113401,137.93,3,2,1,2,0.5,0,0,6,2000,0,0,0,1,0,1,0,0,0,0,261.0,353,-35
116.349167,39.74205900000001,102.37,2,1,1,1,0.5,1,0,8,2007,0,0,1,0,0,0,0,0,0,1,430.0,390,9
116.433129,39.975946,63.11,2,1,1,1,0.14300000000000002,0,1,16,1986,1,0,0,0,0,0,0,0,0,1,366.0,400,-9
116.389093,39.848051,66.48,2,1,1,1,0.25,1,1,16,2006,0,0,0,1,0,0,0,0,0,1,443.0,329,25
116.375652,39.923863,106.48,3,1,1,1,1.0,1,1,9,2002,0,0,1,0,0,0,0,0,0,1,562.0,1118,-99
116.310955,39.937801,59.3,2,1,1,1,0.28600000000000003,1,1,18,1990,1,0,0,0,0,0,0,0,0,1,878.0,514,41
116.41356299999998,40.054842,84.0,2,1,1,1,0.5,0,0,6,2007,0,0,0,1,0,0,0,0,0,1,388.0,405,-4
116.274464,40.123882,82.81,2,1,1,1,0.667,1,0,14,2012,0,0,0,1,0,0,0,0,0,1,330.0,311,5
